age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
31,2,24783,9,12,2,11,0,4,1,0,81,49,38,1
28,3,14082,14,14,2,9,0,4,1,0,0,49,38,1
16,4,11679,14,14,2,9,0,4,1,0,50,39,38,1
41,2,18697,11,8,0,2,1,4,1,108,0,47,38,1
12,5,19199,11,8,2,2,0,4,1,0,0,39,38,1
27,2,12010,9,12,2,3,0,4,1,0,0,39,38,1
23,3,19718,14,14,2,9,0,4,1,0,0,49,38,1
20,2,2008,14,14,4,9,1,1,0,0,0,54,38,1
12,2,26265,15,9,2,13,0,4,1,0,0,44,38,1
40,2,23773,12,13,2,3,0,4,1,0,0,44,38,1
22,2,17224,15,9,2,11,0,4,1,0,0,39,38,1
17,5,2253,10,15,2,9,5,4,0,0,0,49,38,1
32,2,25041,12,13,2,3,0,4,1,110,0,78,38,1
21,2,3178,1,6,2,2,0,4,1,80,0,39,38,1
21,1,25627,11,8,2,13,0,4,1,0,0,39,38,1
27,1,8665,12,13,0,9,1,4,0,99,0,34,38,1
24,2,2528,11,8,4,2,1,4,1,0,0,41,38,1
14,2,11836,15,9,2,2,0,4,1,0,0,49,38,1
40,2,8155,9,12,2,3,0,1,1,0,0,39,29,1
23,2,5886,9,12,2,3,0,4,1,93,0,39,38,1
21,3,14208,9,12,2,9,0,4,1,0,0,49,38,1
34,2,18972,11,8,2,12,0,4,1,93,0,49,38,1
11,5,20784,9,12,2,10,0,4,1,0,0,49,38,1
29,2,16544,8,10,2,9,0,4,1,0,0,39,38,1
8,1,23661,15,9,2,3,0,4,1,0,0,39,38,1
20,2,4593,9,12,2,11,0,4,1,0,0,59,38,1
35,0,26584,9,12,2,12,0,2,1,96,0,39,38,1
26,2,24108,9,12,2,9,5,4,0,110,0,49,38,1
25,1,20807,12,13,5,3,4,2,1,0,0,44,38,1
22,3,6234,14,14,2,9,0,4,1,120,0,64,38,1
48,2,9499,9,12,2,3,0,4,1,0,0,39,38,1
24,0,20017,15,9,2,13,5,4,0,93,0,39,38,1
28,2,24514,11,8,2,13,0,4,1,0,0,39,38,1
29,4,24685,9,12,2,11,0,4,1,0,0,59,38,1
32,2,13610,12,13,2,9,0,4,1,0,0,49,38,1
17,2,4205,11,8,2,13,0,4,1,0,0,39,38,1
35,5,7332,12,13,2,9,5,2,0,0,47,39,38,1
